Experiment,time(min),Input 1 Pre,Input 2 Pre,Input 1,Input 2,Observable 1 mean,Observable 1 sd,Observable 2 mean,Observable 2 sd,Observable 3 mean,Observable 3 sd,Observable 4 mean,Observable 4 sd
1,0,1.00E-07,100,1.00E-07,100,1.06E-07,9.56E-09,42.181,3.9293,2967.6,276.99,147.44,13.407
1,5,1.00E-07,100,1.00E-07,100,1.06E-07,9.56E-09,32.023,3.9293,2586,276.99,139.32,13.407
1,10,1.00E-07,100,1.00E-07,100,8.97E-08,9.56E-09,35.302,3.9293,2402.8,276.99,151.29,13.407
1,15,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,36.949,3.9293,2599.5,276.99,110.77,13.407
1,20,1.00E-07,100,1.00E-07,100,9.05E-08,9.56E-09,37.826,3.9293,3054.3,276.99,125.18,13.407
1,25,1.00E-07,100,1.00E-07,100,9.23E-08,9.56E-09,48.643,3.9293,2924.5,276.99,108.29,13.407
1,30,1.00E-07,100,1.00E-07,100,8.92E-08,9.56E-09,36.757,3.9293,2403.2,276.99,132.98,13.407
1,35,1.00E-07,100,1.00E-07,100,9.58E-08,9.56E-09,36.414,3.9293,2859.8,276.99,139.39,13.407
1,40,1.00E-07,100,1.00E-07,100,9.49E-08,9.56E-09,31.156,3.9293,2731.7,276.99,153.59,13.407
1,45,1.00E-07,100,1.00E-07,100,9.17E-08,9.56E-09,40.915,3.9293,2836.6,276.99,110.29,13.407
1,50,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,31.707,3.9293,3533.3,276.99,140.84,13.407
1,55,1.00E-07,100,1.00E-07,100,9.95E-08,9.56E-09,41.701,3.9293,2965.7,276.99,133.4,13.407
1,60,1.00E-07,100,1.00E-07,100,9.26E-08,9.56E-09,42.398,3.9293,2819,276.99,131.79,13.407
1,65,1.00E-07,100,1.00E-07,100,8.37E-08,9.56E-09,41.037,3.9293,3150.1,276.99,145.53,13.407
1,70,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,40.876,3.9293,2752.1,276.99,145.96,13.407
1,75,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,34.805,3.9293,2436.4,276.99,121.52,13.407
1,80,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,37.399,3.9293,2814.4,276.99,128.69,13.407
1,85,1.00E-07,100,1.00E-07,100,8.24E-08,9.56E-09,39.697,3.9293,2561.6,276.99,134.7,13.407
1,90,1.00E-07,100,1.00E-07,100,1.20E-07,9.56E-09,38.394,3.9293,2456.1,276.99,120.77,13.407
1,95,1.00E-07,100,1.00E-07,100,8.81E-08,9.56E-09,36.934,3.9293,2876.1,276.99,116.82,13.407
1,100,1.00E-07,100,1.00E-07,100,8.49E-08,9.56E-09,43.284,3.9293,2803,276.99,146.54,13.407
1,105,1.00E-07,100,1.00E-07,100,9.60E-08,9.56E-09,40.386,3.9293,3157.3,276.99,129.63,13.407
1,110,1.00E-07,100,1.00E-07,100,9.97E-08,9.56E-09,35.031,3.9293,2529.9,276.99,132.12,13.407
1,115,1.00E-07,100,1.00E-07,100,8.96E-08,9.56E-09,42.199,3.9293,3115.5,276.99,119.67,13.407
1,120,1.00E-07,100,1.00E-07,100,9.62E-08,9.56E-09,41.438,3.9293,2942.7,276.99,151.6,13.407
1,125,1.00E-07,100,1.00E-07,100,9.48E-08,9.56E-09,42.828,3.9293,2758.9,276.99,138.64,13.407
1,130,1.00E-07,100,1.00E-07,100,9.69E-08,9.56E-09,37.292,3.9293,3220.9,276.99,130.23,13.407
1,135,1.00E-07,100,1.00E-07,100,8.33E-08,9.56E-09,40.644,3.9293,3061.3,276.99,141.49,13.407
1,140,1.00E-07,100,1.00E-07,100,9.48E-08,9.56E-09,37.625,3.9293,3169.5,276.99,162.08,13.407
1,145,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,36.688,3.9293,2427.8,276.99,136.51,13.407
1,150,1.00E-07,100,1.00E-07,100,9.80E-08,9.56E-09,41.398,3.9293,2908.7,276.99,140.2,13.407
1,155,1.00E-07,100,1.00E-07,100,9.15E-08,9.56E-09,37.595,3.9293,2414.2,276.99,136.13,13.407
1,160,1.00E-07,100,1.00E-07,100,1.05E-07,9.56E-09,44.536,3.9293,2804,276.99,121.24,13.407
1,165,1.00E-07,100,1.00E-07,100,9.32E-08,9.56E-09,41.306,3.9293,2832.3,276.99,129,13.407
1,170,1.00E-07,100,1.00E-07,100,9.28E-08,9.56E-09,39.764,3.9293,2881.2,276.99,127.08,13.407
1,175,1.00E-07,100,1.00E-07,100,8.98E-08,9.56E-09,40.756,3.9293,2751,276.99,117.41,13.407
1,180,1.00E-07,100,1.00E-07,100,8.85E-08,9.56E-09,40.294,3.9293,3167.5,276.99,125.6,13.407
1,185,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,43.359,3.9293,2964.4,276.99,137.51,13.407
1,190,1.00E-07,100,1.00E-07,100,8.69E-08,9.56E-09,37.803,3.9293,2976.3,276.99,104.16,13.407
1,195,1.00E-07,100,1.00E-07,100,1.04E-07,9.56E-09,40.713,3.9293,3129,276.99,122.23,13.407
1,200,1.00E-07,100,1.00E-07,100,8.90E-08,9.56E-09,36.747,3.9293,2764.9,276.99,142.59,13.407
1,205,1.00E-07,100,1.00E-07,100,9.06E-08,9.56E-09,40.074,3.9293,2803,276.99,127.71,13.407
1,210,1.00E-07,100,1.00E-07,100,8.09E-08,9.56E-09,47.413,3.9293,2969.7,276.99,152.15,13.407
1,215,1.00E-07,100,1.00E-07,100,9.36E-08,9.56E-09,39.48,3.9293,2481.1,276.99,130.93,13.407
1,220,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,32.909,3.9293,2542.7,276.99,134.9,13.407
1,225,1.00E-07,100,1.00E-07,100,9.55E-08,9.56E-09,42.012,3.9293,2883.8,276.99,132.31,13.407
1,230,1.00E-07,100,1.00E-07,100,8.75E-08,9.56E-09,39.813,3.9293,2649.9,276.99,132.95,13.407
1,235,1.00E-07,100,1.00E-07,100,9.62E-08,9.56E-09,39.787,3.9293,2466.2,276.99,146.99,13.407
1,240,1.00E-07,100,1.00E-07,100,1.09E-07,9.56E-09,45.368,3.9293,3152.2,276.99,133.67,13.407
1,245,1.00E-07,100,1.00E-07,100,7.39E-08,9.56E-09,36.514,3.9293,2172.1,276.99,134.52,13.407
1,250,1.00E-07,100,1.00E-07,100,9.29E-08,9.56E-09,33.714,3.9293,2933.9,276.99,127.38,13.407
1,255,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,43.299,3.9293,2568.1,276.99,114.41,13.407
1,260,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,42.982,3.9293,3029,276.99,141.25,13.407
1,265,1.00E-07,100,1.00E-07,100,9.75E-08,9.56E-09,42.917,3.9293,3077,276.99,134.97,13.407
1,270,1.00E-07,100,1.00E-07,100,1.03E-07,9.56E-09,35.752,3.9293,2741.1,276.99,144.12,13.407
1,275,1.00E-07,100,1.00E-07,100,9.03E-08,9.56E-09,39.532,3.9293,2657.9,276.99,139.03,13.407
1,280,1.00E-07,100,1.00E-07,100,9.59E-08,9.56E-09,43.09,3.9293,2831.3,276.99,141.13,13.407
1,285,1.00E-07,100,1.00E-07,100,9.88E-08,9.56E-09,40.757,3.9293,2539.2,276.99,114.7,13.407
1,290,1.00E-07,100,1.00E-07,100,8.35E-08,9.56E-09,29.634,3.9293,2738.4,276.99,120.15,13.407
1,295,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,42.609,3.9293,3309.3,276.99,125.66,13.407
1,300,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,40.243,3.9293,2734.3,276.99,121.53,13.407
1,305,1.00E-07,100,1.00E-07,100,1.10E-07,9.56E-09,45.829,3.9293,2837.3,276.99,154.07,13.407
1,310,1.00E-07,100,1.00E-07,100,9.27E-08,9.56E-09,40.884,3.9293,2500.4,276.99,123.38,13.407
1,315,1.00E-07,100,1.00E-07,100,9.22E-08,9.56E-09,39.55,3.9293,3440.8,276.99,140.84,13.407
1,320,1.00E-07,100,1.00E-07,100,8.17E-08,9.56E-09,42.802,3.9293,2619.4,276.99,142.73,13.407
1,325,1.00E-07,100,1.00E-07,100,8.59E-08,9.56E-09,42.441,3.9293,2806.2,276.99,119.61,13.407
1,330,1.00E-07,100,1.00E-07,100,8.42E-08,9.56E-09,43.524,3.9293,2530.2,276.99,142.58,13.407
1,335,1.00E-07,100,1.00E-07,100,9.11E-08,9.56E-09,44.194,3.9293,2636.8,276.99,130.76,13.407
1,340,1.00E-07,100,1.00E-07,100,7.12E-08,9.56E-09,38.171,3.9293,2678,276.99,147.35,13.407
1,345,1.00E-07,100,1.00E-07,100,9.34E-08,9.56E-09,45.049,3.9293,2448.3,276.99,137.53,13.407
1,350,1.00E-07,100,1.00E-07,100,9.95E-08,9.56E-09,39.148,3.9293,2628.2,276.99,142.5,13.407
1,355,1.00E-07,100,1.00E-07,100,1.08E-07,9.56E-09,35.789,3.9293,2712.8,276.99,131.05,13.407
1,360,1.00E-07,100,1.00E-07,100,1.26E-07,9.56E-09,41.149,3.9293,2652.1,276.99,136.26,13.407
1,365,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,35.67,3.9293,3018.3,276.99,154.21,13.407
1,370,1.00E-07,100,1.00E-07,100,8.68E-08,9.56E-09,43.851,3.9293,3060.9,276.99,114.16,13.407
1,375,1.00E-07,100,1.00E-07,100,1.04E-07,9.56E-09,38.241,3.9293,2723,276.99,133.76,13.407
1,380,1.00E-07,100,1.00E-07,100,8.63E-08,9.56E-09,36.955,3.9293,3130.5,276.99,131.06,13.407
1,385,1.00E-07,100,1.00E-07,100,9.48E-08,9.56E-09,39.919,3.9293,2638.6,276.99,130.25,13.407
1,390,1.00E-07,100,1.00E-07,100,9.89E-08,9.56E-09,44.39,3.9293,2434.3,276.99,126.49,13.407
1,395,1.00E-07,100,1.00E-07,100,9.26E-08,9.56E-09,37.017,3.9293,2905.6,276.99,124.42,13.407
1,400,1.00E-07,100,1.00E-07,100,9.67E-08,9.56E-09,40.741,3.9293,2328,276.99,129.95,13.407
1,405,1.00E-07,100,1.00E-07,100,9.46E-08,9.56E-09,39.624,3.9293,3182.4,276.99,136.49,13.407
1,410,1.00E-07,100,1.00E-07,100,8.32E-08,9.56E-09,35.705,3.9293,2754.4,276.99,124.6,13.407
1,415,1.00E-07,100,1.00E-07,100,9.10E-08,9.56E-09,34.742,3.9293,2764.2,276.99,147.33,13.407
1,420,1.00E-07,100,1,1.00E-07,8.65E-08,9.56E-09,34.654,3.9293,2569.9,276.99,139.35,13.407
1,425,1.00E-07,100,1,1.00E-07,0.8562,0.080644,42.081,3.43,3257.5,276.96,124.74,14.058
1,430,1.00E-07,100,1,1.00E-07,0.95982,0.093231,26.324,2.9942,2882.7,276.84,135.92,14.925
1,435,1.00E-07,100,1,1.00E-07,0.8375,0.095195,29.468,2.6137,2795.8,276.61,148.78,15.757
1,440,1.00E-07,100,1,1.00E-07,0.80765,0.095502,26.604,2.2816,2432.9,276.23,188.4,16.529
1,445,1.00E-07,100,1,1.00E-07,0.98884,0.09555,18.486,1.9917,2672.7,275.68,189.64,17.242
1,450,1.00E-07,100,1,1.00E-07,0.98305,0.095557,18.303,1.7386,2609.3,274.92,201.82,17.9
1,455,1.00E-07,100,1,1.00E-07,1.0348,0.095558,13.953,1.5177,2701.1,273.91,179.56,18.509
1,460,1.00E-07,100,1,1.00E-07,0.91268,0.095558,12.039,1.3248,2841.1,272.62,190.46,19.072
1,465,1.00E-07,100,1,1.00E-07,0.97263,0.095558,12.588,1.1565,2902.9,271.01,200.05,19.594
1,470,1.00E-07,100,1,1.00E-07,0.97121,0.095558,10.487,1.0095,2445.3,269.04,207.26,20.08
1,475,1.00E-07,100,1,1.00E-07,1.1182,0.095558,8.2801,0.88124,3072.6,266.66,185.96,20.534
1,480,1.00E-07,100,1,1.00E-07,0.87526,0.095558,8.1663,0.76926,2354,263.84,218.17,20.958
1,485,1.00E-07,100,1,1.00E-07,1.0226,0.095558,5.8642,0.67151,2441.6,260.55,179.82,21.357
1,490,1.00E-07,100,1,1.00E-07,0.90954,0.095558,6.0729,0.58618,2663.3,256.77,220.77,21.735
1,495,1.00E-07,100,1,1.00E-07,1.1259,0.095558,5.342,0.5117,2070.4,252.49,258.42,22.094
1,500,1.00E-07,100,1,1.00E-07,0.95007,0.095558,4.3743,0.44668,2548.3,247.7,263.53,22.439
1,505,1.00E-07,100,1,1.00E-07,0.71258,0.095558,3.7504,0.38992,2298,242.41,227.73,22.771
1,510,1.00E-07,100,1,1.00E-07,0.95782,0.095558,3.7981,0.34037,2366.9,236.63,243.9,23.095
1,515,1.00E-07,100,1,1.00E-07,0.8541,0.095558,3.1195,0.29712,2278.9,230.4,220.59,23.413
1,520,1.00E-07,100,1,1.00E-07,0.79564,0.095558,1.9121,0.25936,2185.6,223.76,224.05,23.728
1,525,1.00E-07,100,1,1.00E-07,1.0443,0.095558,2.4448,0.22641,2420.7,216.74,266.17,24.043
1,530,1.00E-07,100,1,1.00E-07,0.80965,0.095558,2.414,0.19764,2018.7,209.41,256.17,24.36
1,535,1.00E-07,100,1,1.00E-07,0.89413,0.095558,1.4582,0.17252,2163.8,201.82,265.33,24.682
1,540,1.00E-07,100,1,1.00E-07,1.1095,0.095558,1.7541,0.1506,1821.4,194.02,213.16,25.012
1,545,1.00E-07,100,1,1.00E-07,1.0454,0.095558,1.4587,0.13146,1545.4,186.09,233.73,25.351
1,550,1.00E-07,100,1,1.00E-07,0.89006,0.095558,1.2703,0.11476,1704.4,178.08,224.18,25.701
1,555,1.00E-07,100,1,1.00E-07,0.88739,0.095558,0.91736,0.10018,1538.1,170.04,285.45,26.066
1,560,1.00E-07,100,1,1.00E-07,1.3038,0.095558,0.89549,0.087447,1946.9,162.03,247.39,26.447
1,565,1.00E-07,100,1,1.00E-07,0.85011,0.095558,0.76918,0.076335,1690.3,154.1,241.83,26.845
1,570,1.00E-07,100,1,1.00E-07,1.0311,0.095558,0.57089,0.066636,1415.3,146.29,278.35,27.263
1,575,1.00E-07,100,1,1.00E-07,0.93094,0.095558,0.49895,0.058168,1355.1,138.63,306.75,27.703
1,580,1.00E-07,100,1,1.00E-07,1.0502,0.095558,0.45961,0.050777,1369.5,131.17,221.66,28.167
1,585,1.00E-07,100,1,1.00E-07,0.93882,0.095558,0.4687,0.044325,1348,123.91,322.21,28.655
1,590,1.00E-07,100,1,1.00E-07,1.0281,0.095558,0.41851,0.038692,1225.8,116.9,273.86,29.17
1,595,1.00E-07,100,1,1.00E-07,0.93895,0.095558,0.32406,0.033776,1069.9,110.14,309.72,29.713
1,600,1.00E-07,100,1,1.00E-07,0.95131,0.095558,0.3069,0.029484,965.31,103.65,292.41,30.286
1,605,1.00E-07,100,1,1.00E-07,1.1093,0.095558,0.2654,0.025737,963.47,97.432,305.75,30.89
1,610,1.00E-07,100,1,1.00E-07,1.0036,0.095558,0.24854,0.022467,1023.6,91.495,307.52,31.527
1,615,1.00E-07,100,1,1.00E-07,0.99632,0.095558,0.19746,0.019612,802.79,85.841,302.36,32.197
1,620,1.00E-07,100,1,1.00E-07,0.93254,0.095558,0.15768,0.01712,718.53,80.468,335.57,32.903
1,625,1.00E-07,100,1,1.00E-07,0.96539,0.095558,0.1378,0.014944,876.11,75.375,310.6,33.646
1,630,1.00E-07,100,1,1.00E-07,0.90292,0.095558,0.11145,0.013045,757.44,70.555,312,34.426
1,635,1.00E-07,100,1,1.00E-07,0.97084,0.095558,0.10018,0.011388,648.06,66.004,359.07,35.245
1,640,1.00E-07,100,1,1.00E-07,0.77584,0.095558,0.08438,0.0099408,505.99,61.712,323.34,36.104
1,645,1.00E-07,100,1,1.00E-07,1.0136,0.095558,0.08789,0.0086776,613.64,57.673,393.67,37.004
1,650,1.00E-07,100,1,1.00E-07,1.1904,0.095558,0.071011,0.0075749,522.03,53.875,407.25,37.946
1,655,1.00E-07,100,1,1.00E-07,0.96223,0.095558,0.0666,0.0066124,510.89,50.311,418.54,38.93
1,660,1.00E-07,100,1,1.00E-07,0.8419,0.095558,0.066644,0.0057722,398.97,46.969,371.33,39.958
1,665,1.00E-07,100,1,1.00E-07,1.0387,0.095558,0.04928,0.0050387,447.83,43.84,416.73,41.03
1,670,1.00E-07,100,1,1.00E-07,0.86433,0.095558,0.039003,0.0043984,421.24,40.912,407.82,42.146
1,675,1.00E-07,100,1,1.00E-07,1.0435,0.095558,0.035234,0.0038395,410.01,38.176,420.94,43.307
1,680,1.00E-07,100,1,1.00E-07,0.90193,0.095558,0.027451,0.0033516,396.56,35.622,412.79,44.513
1,685,1.00E-07,100,1,1.00E-07,0.88484,0.095558,0.029217,0.0029257,307.69,33.238,417.15,45.763
1,690,1.00E-07,100,1,1.00E-07,0.88785,0.095558,0.024253,0.002554,278.95,31.017,508.38,47.059
1,695,1.00E-07,100,1,1.00E-07,0.93781,0.095558,0.023889,0.0022294,274.06,28.948,403.44,48.4
1,700,1.00E-07,100,1,1.00E-07,0.98207,0.095558,0.019049,0.0019461,219.15,27.022,522.25,49.784
1,705,1.00E-07,100,1,1.00E-07,0.90096,0.095558,0.020125,0.0016988,252.49,25.23,480.13,51.213
1,710,1.00E-07,100,1,1.00E-07,0.88021,0.095558,0.014233,0.001483,271.08,23.564,473.94,52.684
1,715,1.00E-07,100,1,1.00E-07,0.91618,0.095558,0.012805,0.0012945,207.17,22.016,490.76,54.197
1,720,1.00E-07,100,1,1.00E-07,0.91725,0.095558,0.0097526,0.00113,222.28,20.578,591.75,55.75
1,725,1.00E-07,100,1,1.00E-07,1.0679,0.095558,0.0099922,0.00098645,202.42,19.243,602.43,57.343
1,730,1.00E-07,100,1.00E-07,100,0.91296,0.095558,0.0084643,0.0008611,162.06,18.004,480.87,58.973
1,735,1.00E-07,100,1.00E-07,100,0.15587,0.014914,6.5222,0.50005,169.89,17.826,654.46,59.033
1,740,1.00E-07,100,1.00E-07,100,0.021016,0.0023277,11.496,0.93581,185.31,19.378,596.43,57.077
1,745,1.00E-07,100,1.00E-07,100,0.0040742,0.0003633,13.961,1.3162,227.48,22.631,440.58,54.447
1,750,1.00E-07,100,1.00E-07,100,0.00054818,5.67E-05,15.927,1.6483,273.27,27.52,579.38,51.737
1,755,1.00E-07,100,1.00E-07,100,7.56E-05,8.86E-06,16.934,1.9381,364.13,33.888,481.4,49.118
1,760,1.00E-07,100,1.00E-07,100,1.50E-05,1.39E-06,19.64,2.1911,385.25,41.512,456.26,46.628
1,765,1.00E-07,100,1.00E-07,100,2.25E-06,2.25E-07,20.114,2.412,382.29,50.144,414.52,44.277
1,770,1.00E-07,100,1.00E-07,100,4.40E-07,4.32E-08,24.702,2.6048,700.61,59.534,402.32,42.065
1,775,1.00E-07,100,1.00E-07,100,1.71E-07,1.48E-08,30.494,2.7731,618.64,69.446,337.75,39.992
1,780,1.00E-07,100,1.00E-07,100,1.02E-07,1.04E-08,25.858,2.92,718.02,79.667,324.42,38.054
1,785,1.00E-07,100,1.00E-07,100,1.11E-07,9.68E-09,25.499,3.0483,947.39,90.014,359.92,36.245
1,790,1.00E-07,100,1.00E-07,100,8.73E-08,9.58E-09,32.6,3.1603,929.66,100.34,334.99,34.559
1,795,1.00E-07,100,1.00E-07,100,1.02E-07,9.56E-09,31.288,3.258,1200.6,110.51,359.11,32.991
1,800,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,32.83,3.3433,1207,120.45,340.34,31.534
1,805,1.00E-07,100,1.00E-07,100,7.70E-08,9.56E-09,32.524,3.4178,1645.2,130.07,258.5,30.181
1,810,1.00E-07,100,1.00E-07,100,8.55E-08,9.56E-09,40.899,3.4828,1425.3,139.33,290.63,28.925
1,815,1.00E-07,100,1.00E-07,100,1.01E-07,9.56E-09,39.239,3.5395,1331.7,148.19,280.27,27.761
1,820,1.00E-07,100,1.00E-07,100,8.15E-08,9.56E-09,34.25,3.589,1627.8,156.64,314.58,26.682
1,825,1.00E-07,100,1.00E-07,100,1.07E-07,9.56E-09,32.793,3.6323,1290.5,164.65,272.88,25.682
1,830,1.00E-07,100,1.00E-07,100,1.00E-07,9.56E-09,31.928,3.67,1805.6,172.23,243.48,24.756
1,835,1.00E-07,100,1.00E-07,100,8.55E-08,9.56E-09,43.13,3.703,2047,179.38,250.46,23.899
1,840,1.00E-07,100,1.00E-07,100,9.68E-08,9.56E-09,38.549,3.7318,1887.7,186.11,219.91,23.105
1,845,1.00E-07,100,1.00E-07,100,8.47E-08,9.56E-09,35.63,3.7569,1624.6,192.43,216.64,22.371
